inst#,actual,predicted,error,prediction
408,2:-,2:-,,0.914
409,2:-,2:-,,0.965
410,2:-,2:-,,0.605
411,2:-,2:-,,0.908
412,2:-,2:-,,0.89
413,2:-,2:-,,0.552
414,2:-,2:-,,0.978
415,2:-,2:-,,0.967
416,2:-,2:-,,0.572
417,2:-,2:-,,0.6
418,2:-,2:-,,1
419,2:-,2:-,,0.599
420,2:-,2:-,,0.885
421,2:-,2:-,,0.975
422,2:-,2:-,,0.767
423,2:-,2:-,,0.842
424,2:-,1:+,+,0.562
425,2:-,2:-,,0.983
426,2:-,2:-,,0.582
427,2:-,2:-,,0.776
428,2:-,2:-,,0.948
429,2:-,2:-,,0.859
430,2:-,2:-,,0.544
431,2:-,2:-,,0.936
432,2:-,2:-,,0.797
433,2:-,2:-,,0.852
434,2:-,2:-,,0.732
435,2:-,2:-,,0.994
436,2:-,1:+,+,0.54
437,2:-,2:-,,0.999
438,2:-,2:-,,0.57
439,2:-,2:-,,0.631
440,2:-,2:-,,0.809
441,2:-,2:-,,0.762
442,2:-,1:+,+,0.573
443,2:-,2:-,,0.687
444,2:-,2:-,,0.723
445,2:-,2:-,,0.735
446,2:-,2:-,,0.846
447,2:-,2:-,,0.613
448,2:-,2:-,,0.588
449,2:-,2:-,,0.542
450,2:-,2:-,,1
451,2:-,2:-,,0.943
452,2:-,2:-,,0.957
453,2:-,2:-,,0.749
454,2:-,2:-,,0.936
455,2:-,2:-,,0.929
456,2:-,2:-,,0.844
457,2:-,2:-,,0.975
458,2:-,2:-,,0.727
459,2:-,2:-,,0.665
460,2:-,2:-,,0.66
461,2:-,1:+,+,0.547
462,2:-,2:-,,0.99
463,2:-,1:+,+,0.52
464,2:-,2:-,,1
465,2:-,2:-,,0.63
466,2:-,2:-,,0.609
467,2:-,2:-,,0.699
468,2:-,1:+,+,0.583
469,2:-,2:-,,1
470,2:-,1:+,+,0.715
471,2:-,2:-,,0.814
472,2:-,2:-,,0.87
473,2:-,2:-,,0.791
474,2:-,2:-,,1
475,2:-,2:-,,0.501
476,2:-,2:-,,0.998
477,2:-,2:-,,0.98
478,2:-,2:-,,0.656
479,2:-,2:-,,0.68
480,2:-,2:-,,1
481,2:-,2:-,,0.803
482,2:-,2:-,,0.86
483,2:-,2:-,,0.817
484,2:-,2:-,,0.639
485,2:-,2:-,,0.871
486,2:-,2:-,,0.676
487,2:-,2:-,,0.816
488,2:-,2:-,,0.704
489,2:-,2:-,,0.876
490,2:-,2:-,,0.808
491,2:-,2:-,,0.835
492,2:-,2:-,,0.64
493,2:-,2:-,,0.949
494,2:-,2:-,,0.959
495,2:-,2:-,,0.776
496,2:-,1:+,+,0.523
497,2:-,1:+,+,0.562
498,2:-,2:-,,0.665
499,2:-,2:-,,0.758
500,2:-,2:-,,0.768
501,2:-,2:-,,0.564
502,2:-,2:-,,0.787
503,2:-,2:-,,0.596
504,2:-,1:+,+,0.745
505,2:-,1:+,+,0.778
506,2:-,2:-,,0.568
507,2:-,1:+,+,0.659
508,2:-,2:-,,1
509,2:-,2:-,,0.866
510,2:-,1:+,+,0.718
511,2:-,1:+,+,0.574
512,2:-,1:+,+,0.63
513,2:-,2:-,,0.644
514,2:-,2:-,,0.959
515,2:-,2:-,,0.801
516,2:-,2:-,,0.812
517,2:-,1:+,+,0.573
518,2:-,2:-,,0.761
519,2:-,2:-,,0.614
520,2:-,2:-,,1
521,2:-,2:-,,0.985
522,2:-,2:-,,0.547
523,2:-,2:-,,0.923
524,2:-,2:-,,0.705
525,2:-,2:-,,0.948
526,2:-,2:-,,0.699
527,2:-,2:-,,0.75
528,2:-,2:-,,0.82
529,2:-,2:-,,1
530,2:-,2:-,,0.97
531,2:-,2:-,,0.999
532,2:-,1:+,+,0.532
533,2:-,2:-,,0.728
534,2:-,2:-,,0.988
535,2:-,1:+,+,0.634
536,2:-,2:-,,0.919
537,2:-,2:-,,0.977
538,2:-,2:-,,0.754
539,2:-,2:-,,0.781
540,2:-,2:-,,0.978
541,2:-,2:-,,0.947
542,2:-,2:-,,0.977
543,2:-,2:-,,0.692
544,2:-,1:+,+,0.758
545,2:-,2:-,,0.948
546,2:-,1:+,+,0.794
547,2:-,1:+,+,0.532
548,2:-,2:-,,0.885
549,2:-,1:+,+,0.806
550,2:-,2:-,,1
551,2:-,2:-,,0.831
552,2:-,1:+,+,0.716
553,2:-,2:-,,0.558
554,2:-,1:+,+,0.942
555,2:-,2:-,,1
556,2:-,2:-,,0.777
557,2:-,1:+,+,0.533
558,2:-,2:-,,0.814
559,2:-,2:-,,0.89
560,2:-,2:-,,0.853
561,2:-,2:-,,0.55
562,2:-,2:-,,0.697
563,2:-,2:-,,0.877
564,2:-,2:-,,1
565,2:-,2:-,,0.727
566,2:-,2:-,,0.993
567,2:-,1:+,+,0.591
568,2:-,2:-,,0.984
569,2:-,2:-,,0.772
570,2:-,1:+,+,0.694
571,2:-,2:-,,0.751
572,2:-,2:-,,0.933
573,2:-,2:-,,0.634
574,2:-,2:-,,0.692
575,2:-,2:-,,0.637
576,2:-,2:-,,0.643
577,2:-,2:-,,0.956
578,2:-,2:-,,1
579,2:-,1:+,+,0.546
580,2:-,1:+,+,0.703
581,2:-,2:-,,0.935
582,2:-,2:-,,1
583,2:-,2:-,,0.976
584,2:-,2:-,,0.671
585,2:-,2:-,,0.811
586,2:-,2:-,,0.984
587,2:-,2:-,,0.61
588,2:-,1:+,+,0.697
589,2:-,2:-,,0.924
590,2:-,2:-,,0.771
591,2:-,2:-,,0.849
592,2:-,2:-,,1
593,2:-,2:-,,0.653
594,2:-,2:-,,0.571
595,2:-,2:-,,0.958
596,2:-,2:-,,0.957
597,2:-,2:-,,0.631
598,2:-,2:-,,0.677
599,2:-,2:-,,0.879
600,2:-,1:+,+,0.616
601,2:-,2:-,,0.737
602,2:-,2:-,,0.659
603,2:-,2:-,,0.574
604,2:-,1:+,+,0.676
605,2:-,2:-,,0.999
606,2:-,2:-,,0.952
607,2:-,2:-,,0.57
608,2:-,2:-,,0.956
609,2:-,2:-,,0.947
610,2:-,2:-,,0.864
611,2:-,1:+,+,0.56
612,2:-,2:-,,0.598
613,2:-,2:-,,0.769
614,2:-,2:-,,0.589
615,2:-,1:+,+,0.914
616,2:-,2:-,,0.961
617,2:-,2:-,,0.679
618,2:-,2:-,,0.744
619,2:-,2:-,,0.872
620,2:-,2:-,,0.852
621,2:-,1:+,+,0.665
622,2:-,2:-,,0.818
623,2:-,2:-,,0.74
624,2:-,2:-,,0.878
625,2:-,2:-,,0.997
626,2:-,2:-,,0.971
627,2:-,2:-,,0.934
628,2:-,2:-,,0.985
629,2:-,1:+,+,0.505
630,2:-,2:-,,0.708
631,2:-,2:-,,0.907
632,2:-,2:-,,0.895
633,2:-,1:+,+,0.702
634,2:-,2:-,,0.781
635,2:-,2:-,,0.795
636,2:-,2:-,,0.937
637,2:-,2:-,,0.966
638,2:-,2:-,,0.683
639,2:-,2:-,,0.819
640,2:-,2:-,,0.994
641,2:-,2:-,,0.574
642,2:-,2:-,,0.656
643,2:-,2:-,,0.813
644,2:-,2:-,,0.57
645,2:-,2:-,,0.656
646,2:-,2:-,,1
647,2:-,2:-,,0.734
648,2:-,2:-,,0.822
649,2:-,1:+,+,0.605
650,2:-,1:+,+,0.518
651,2:-,1:+,+,0.593
652,2:-,1:+,+,0.751
653,2:-,2:-,,1
654,2:-,2:-,,0.681
655,2:-,2:-,,0.64
656,2:-,1:+,+,0.656
657,2:-,1:+,+,0.545
658,2:-,2:-,,0.839
659,2:-,2:-,,0.851
660,2:-,2:-,,0.999
661,2:-,2:-,,0.934
662,2:-,2:-,,0.962
663,2:-,2:-,,0.76
664,2:-,1:+,+,0.899
665,2:-,1:+,+,0.84
666,2:-,2:-,,0.991
667,2:-,2:-,,0.949
668,2:-,2:-,,0.731
669,2:-,2:-,,0.893
670,2:-,2:-,,0.852
671,2:-,2:-,,0.959
672,2:-,2:-,,0.749
673,2:-,2:-,,0.784
674,2:-,2:-,,0.893
675,2:-,2:-,,0.999
676,2:-,2:-,,0.932
677,2:-,2:-,,0.988
678,2:-,2:-,,0.606
679,2:-,2:-,,0.898
680,2:-,1:+,+,0.782
681,2:-,2:-,,0.544
682,2:-,2:-,,0.738
683,2:-,2:-,,0.885
684,2:-,1:+,+,0.535
685,2:-,1:+,+,0.804
686,2:-,2:-,,0.98
687,2:-,2:-,,0.748
688,2:-,2:-,,0.998
689,2:-,2:-,,0.863
690,2:-,2:-,,0.978
691,2:-,2:-,,0.836
692,2:-,2:-,,0.87
693,2:-,1:+,+,0.759
694,2:-,2:-,,0.684
695,2:-,1:+,+,0.563
696,2:-,2:-,,0.91
697,2:-,2:-,,0.604
698,2:-,2:-,,0.766
699,2:-,2:-,,0.522
700,2:-,2:-,,0.542
701,2:-,2:-,,0.965
702,2:-,2:-,,0.655
703,2:-,2:-,,0.555
704,2:-,2:-,,1
705,2:-,2:-,,0.995
706,2:-,2:-,,0.829
707,2:-,2:-,,0.922
708,2:-,2:-,,0.781
709,2:-,2:-,,0.911
710,2:-,2:-,,1
711,2:-,1:+,+,0.609
712,2:-,2:-,,0.825
713,2:-,2:-,,0.845
714,2:-,2:-,,0.531
715,2:-,2:-,,0.817
716,2:-,1:+,+,0.639
717,2:-,2:-,,0.762
718,2:-,2:-,,0.975
719,2:-,2:-,,0.716
720,2:-,2:-,,0.712
721,2:-,2:-,,0.795
722,2:-,1:+,+,0.779
723,2:-,2:-,,0.759
724,2:-,1:+,+,0.503
725,2:-,2:-,,0.79
726,2:-,2:-,,0.965
727,2:-,2:-,,0.788
728,2:-,2:-,,0.755
729,2:-,2:-,,0.89
730,2:-,2:-,,0.957
731,2:-,2:-,,0.682
732,2:-,2:-,,0.993
733,2:-,2:-,,1
734,2:-,2:-,,0.69
735,2:-,2:-,,0.973
736,2:-,1:+,+,0.736
737,2:-,2:-,,0.851
738,2:-,2:-,,0.997
739,2:-,2:-,,0.818
740,2:-,2:-,,0.758
741,2:-,2:-,,1
742,2:-,2:-,,0.591
743,2:-,2:-,,0.941
744,2:-,1:+,+,0.722
745,2:-,1:+,+,0.516
746,2:-,2:-,,0.999
747,2:-,2:-,,1
748,2:-,2:-,,0.544
749,2:-,2:-,,0.969
750,2:-,2:-,,0.757
751,2:-,2:-,,0.844
752,2:-,2:-,,0.994
753,2:-,1:+,+,0.693
754,2:-,2:-,,0.977
755,2:-,2:-,,1
756,2:-,2:-,,1
757,2:-,2:-,,0.755
758,2:-,2:-,,0.813
759,2:-,2:-,,0.947
760,2:-,2:-,,0.756
761,2:-,2:-,,0.932
762,2:-,2:-,,0.609
763,2:-,1:+,+,0.696
764,2:-,1:+,+,0.851
765,2:-,2:-,,0.543
766,2:-,2:-,,0.959
767,2:-,2:-,,0.586
768,2:-,2:-,,0.976
769,2:-,2:-,,0.995
770,2:-,2:-,,0.955
771,2:-,2:-,,0.527
772,2:-,2:-,,0.978
773,2:-,2:-,,0.922
774,2:-,2:-,,0.889
775,2:-,1:+,+,0.673
776,2:-,2:-,,0.853
777,2:-,2:-,,0.563
778,2:-,2:-,,0.825
779,2:-,2:-,,0.788
780,2:-,2:-,,0.826
781,2:-,2:-,,0.661
782,2:-,2:-,,0.967
783,2:-,2:-,,0.786
784,2:-,2:-,,0.505
785,2:-,2:-,,0.734
786,2:-,2:-,,0.54
787,2:-,2:-,,0.879
788,2:-,1:+,+,0.79
789,2:-,2:-,,0.826
790,2:-,2:-,,0.672
791,2:-,2:-,,0.88
792,2:-,2:-,,0.884
793,2:-,2:-,,0.928
794,2:-,2:-,,0.654
795,2:-,2:-,,0.918
796,2:-,2:-,,1
797,2:-,1:+,+,0.646
798,2:-,2:-,,0.581
799,2:-,1:+,+,0.564
800,2:-,2:-,,1
801,2:-,2:-,,0.971
802,2:-,2:-,,0.77
803,2:-,2:-,,0.9
804,2:-,2:-,,0.782
805,2:-,2:-,,0.506
806,2:-,2:-,,0.774
807,2:-,2:-,,0.576
808,2:-,2:-,,0.742
809,2:-,2:-,,0.889
810,2:-,2:-,,0.999
811,2:-,2:-,,0.909
812,2:-,2:-,,0.929
813,2:-,2:-,,0.94
814,2:-,2:-,,0.999
815,2:-,2:-,,0.833
816,2:-,1:+,+,0.936
817,2:-,2:-,,0.831
818,2:-,2:-,,0.633
819,2:-,1:+,+,0.526
820,2:-,2:-,,0.819
821,2:-,2:-,,0.697
822,2:-,1:+,+,0.661
823,2:-,2:-,,0.864
824,2:-,2:-,,0.998
825,2:-,2:-,,0.593
826,2:-,2:-,,0.688
827,2:-,1:+,+,0.695
828,2:-,2:-,,0.991
829,2:-,2:-,,0.629
830,2:-,2:-,,0.868
831,2:-,2:-,,0.88
832,2:-,2:-,,0.759
833,2:-,2:-,,0.675
834,2:-,2:-,,0.973
835,2:-,2:-,,1
836,2:-,2:-,,0.816
837,2:-,2:-,,0.88
838,2:-,2:-,,0.534
839,2:-,2:-,,0.555
840,2:-,2:-,,0.97
841,2:-,2:-,,0.97
842,2:-,2:-,,0.8
843,2:-,2:-,,0.948
844,2:-,1:+,+,0.766
845,2:-,2:-,,0.662
846,2:-,2:-,,0.753
847,2:-,1:+,+,0.682
848,2:-,2:-,,0.829
849,2:-,1:+,+,0.728
850,2:-,2:-,,0.751
851,2:-,2:-,,0.818
852,2:-,1:+,+,0.578
853,2:-,2:-,,0.807
854,2:-,2:-,,0.984
855,2:-,1:+,+,0.642
856,2:-,2:-,,0.636
857,2:-,2:-,,0.795
858,2:-,1:+,+,0.852
859,2:-,2:-,,0.507
860,2:-,2:-,,0.974
861,2:-,2:-,,0.66
862,2:-,2:-,,0.918
863,2:-,1:+,+,0.612
864,2:-,1:+,+,0.771
865,2:-,2:-,,0.693
866,2:-,2:-,,0.681
867,2:-,2:-,,0.949
868,2:-,2:-,,0.911
869,2:-,2:-,,0.967
870,2:-,1:+,+,0.552
871,2:-,2:-,,0.967
872,2:-,2:-,,0.972
873,2:-,2:-,,0.959
874,2:-,2:-,,0.521
875,2:-,2:-,,0.676
876,2:-,2:-,,0.702
877,2:-,2:-,,0.889
878,2:-,1:+,+,0.632
879,2:-,2:-,,0.955
880,2:-,2:-,,0.557
881,2:-,2:-,,0.794
882,2:-,2:-,,0.95
883,2:-,2:-,,0.515
884,2:-,1:+,+,0.729
885,2:-,2:-,,1
886,2:-,1:+,+,0.728
887,2:-,2:-,,0.951
888,2:-,2:-,,0.941
889,2:-,2:-,,0.876
890,2:-,2:-,,0.546
891,2:-,2:-,,0.681
892,2:-,2:-,,0.962
893,2:-,2:-,,0.995
894,2:-,2:-,,0.894
895,2:-,1:+,+,0.584
896,2:-,1:+,+,0.586
897,2:-,1:+,+,0.711
898,2:-,2:-,,0.921
899,2:-,2:-,,0.528
900,2:-,1:+,+,0.553
901,2:-,2:-,,0.991
902,2:-,1:+,+,0.612
903,2:-,1:+,+,0.946
904,2:-,2:-,,0.988
905,2:-,1:+,+,0.644
906,2:-,2:-,,0.889
907,2:-,2:-,,0.872
908,2:-,2:-,,0.767
909,2:-,2:-,,0.895
910,2:-,2:-,,0.908
911,2:-,1:+,+,0.758
912,2:-,2:-,,0.639
913,2:-,2:-,,1
914,2:-,2:-,,0.737
915,2:-,2:-,,0.732
916,2:-,2:-,,1
917,2:-,2:-,,0.989
918,2:-,2:-,,0.675
919,2:-,2:-,,0.989
920,2:-,2:-,,0.904
921,2:-,1:+,+,0.59
922,2:-,1:+,+,0.53
923,2:-,2:-,,0.992
924,2:-,1:+,+,0.74
925,2:-,1:+,+,0.565
926,2:-,2:-,,1
