inst#,actual,predicted,error,prediction
137,2:-,2:-,,0.85
138,2:-,1:+,+,0.771
139,2:-,2:-,,0.984
140,2:-,2:-,,0.827
141,2:-,2:-,,0.895
142,2:-,2:-,,0.949
143,2:-,1:+,+,0.956
144,2:-,2:-,,0.802
145,2:-,2:-,,1
146,2:-,1:+,+,0.657
147,2:-,2:-,,0.983
148,2:-,2:-,,0.602
149,2:-,2:-,,0.999
150,2:-,2:-,,0.995
151,2:-,2:-,,0.983
152,1:+,2:-,+,0.604
153,1:+,1:+,,0.674
154,2:-,2:-,,0.976
155,2:-,2:-,,1
156,2:-,2:-,,0.729
157,2:-,2:-,,0.777
158,2:-,2:-,,0.792
159,2:-,2:-,,0.939
160,2:-,1:+,+,0.859
161,2:-,2:-,,0.51
162,1:+,2:-,+,0.835
163,2:-,2:-,,1
164,2:-,2:-,,0.933
165,2:-,2:-,,1
166,2:-,2:-,,0.658
167,2:-,2:-,,0.846
168,2:-,2:-,,0.954
169,2:-,2:-,,0.985
170,1:+,2:-,+,0.515
171,2:-,2:-,,0.531
172,2:-,2:-,,0.99
173,2:-,2:-,,0.999
174,2:-,1:+,+,0.946
175,2:-,2:-,,0.984
176,2:-,2:-,,0.998
177,2:-,2:-,,1
178,2:-,2:-,,0.993
179,2:-,1:+,+,0.538
180,2:-,1:+,+,0.912
181,2:-,2:-,,0.878
182,2:-,2:-,,0.997
183,2:-,2:-,,0.765
184,2:-,2:-,,0.948
185,2:-,2:-,,0.835
186,2:-,2:-,,0.549
187,1:+,1:+,,0.872
188,2:-,2:-,,0.96
189,2:-,2:-,,0.996
190,2:-,2:-,,1
191,2:-,1:+,+,0.965
192,2:-,2:-,,0.958
193,2:-,2:-,,0.889
194,2:-,2:-,,0.803
195,2:-,2:-,,0.851
196,2:-,2:-,,0.944
197,1:+,1:+,,0.77
198,2:-,2:-,,1
199,2:-,2:-,,0.924
200,2:-,2:-,,0.764
201,2:-,2:-,,1
202,2:-,2:-,,0.999
203,2:-,2:-,,0.5
204,1:+,1:+,,0.866
205,2:-,1:+,+,0.664
206,2:-,2:-,,0.993
207,2:-,2:-,,0.995
208,1:+,2:-,+,0.993
209,2:-,2:-,,0.885
210,2:-,1:+,+,1
211,1:+,2:-,+,0.775
212,2:-,2:-,,0.943
213,1:+,1:+,,0.765
214,2:-,2:-,,0.971
215,2:-,2:-,,1
216,2:-,1:+,+,0.938
217,2:-,2:-,,0.671
218,2:-,2:-,,0.94
219,2:-,1:+,+,0.909
220,2:-,2:-,,0.88
221,2:-,2:-,,0.963
222,2:-,2:-,,0.993
223,2:-,2:-,,0.974
224,2:-,2:-,,1
225,2:-,1:+,+,0.953
226,1:+,1:+,,0.611
227,2:-,2:-,,0.967
228,2:-,2:-,,0.834
229,1:+,2:-,+,0.998
230,2:-,2:-,,0.935
231,2:-,1:+,+,1
232,2:-,2:-,,0.843
233,2:-,2:-,,0.994
234,2:-,2:-,,0.85
235,2:-,1:+,+,1
236,2:-,2:-,,1
237,2:-,1:+,+,0.544
238,2:-,1:+,+,0.867
239,2:-,2:-,,0.904
240,2:-,1:+,+,0.679
241,2:-,1:+,+,0.637
242,1:+,1:+,,0.855
243,2:-,2:-,,0.522
244,2:-,2:-,,0.849
245,2:-,2:-,,0.971
246,2:-,2:-,,0.839
247,2:-,2:-,,0.999
248,1:+,2:-,+,0.705
249,1:+,1:+,,0.556
250,2:-,2:-,,0.999
251,2:-,1:+,+,0.944
252,2:-,2:-,,1
253,2:-,2:-,,0.961
254,2:-,2:-,,0.924
255,2:-,1:+,+,0.996
256,2:-,2:-,,0.509
257,2:-,2:-,,0.778
258,2:-,2:-,,0.971
259,2:-,2:-,,0.541
260,2:-,2:-,,0.79
261,1:+,2:-,+,0.578
262,2:-,2:-,,0.629
263,2:-,2:-,,0.946
264,2:-,2:-,,0.96
265,2:-,2:-,,1
266,1:+,1:+,,0.758
267,2:-,1:+,+,0.806
268,2:-,2:-,,0.907
269,2:-,2:-,,0.808
270,2:-,2:-,,0.984
271,1:+,1:+,,0.973
272,2:-,2:-,,0.875
273,2:-,2:-,,0.632
274,2:-,2:-,,0.963
275,2:-,2:-,,0.954
276,2:-,1:+,+,0.793
277,2:-,2:-,,0.956
278,2:-,2:-,,0.993
279,2:-,1:+,+,0.994
280,2:-,2:-,,0.944
281,2:-,2:-,,0.834
282,2:-,2:-,,0.997
283,1:+,2:-,+,0.876
284,1:+,1:+,,0.558
285,2:-,2:-,,1
286,2:-,2:-,,0.961
287,2:-,2:-,,0.949
288,2:-,2:-,,0.996
289,2:-,1:+,+,0.717
290,2:-,2:-,,0.869
291,2:-,2:-,,1
292,1:+,1:+,,0.677
293,2:-,2:-,,0.59
294,2:-,2:-,,1
295,1:+,2:-,+,0.916
296,2:-,2:-,,0.639
297,2:-,1:+,+,0.638
298,2:-,2:-,,0.927
299,1:+,2:-,+,0.915
300,2:-,2:-,,0.689
301,2:-,1:+,+,0.587
302,2:-,2:-,,1
303,2:-,1:+,+,0.615
304,2:-,1:+,+,0.734
305,2:-,2:-,,0.524
306,2:-,2:-,,0.705
307,2:-,2:-,,0.887
308,2:-,2:-,,0.553
309,2:-,2:-,,0.915
310,2:-,1:+,+,0.849
311,2:-,2:-,,0.998
312,2:-,1:+,+,1
313,1:+,1:+,,0.546
314,2:-,2:-,,0.678
315,2:-,2:-,,0.925
316,2:-,2:-,,0.962
317,2:-,2:-,,0.684
318,2:-,1:+,+,0.968
319,2:-,1:+,+,0.755
320,2:-,1:+,+,0.981
321,2:-,1:+,+,0.999
322,2:-,2:-,,0.957
323,2:-,2:-,,0.901
324,2:-,2:-,,0.999
325,2:-,2:-,,1
326,1:+,1:+,,0.549
327,2:-,2:-,,0.994
328,2:-,2:-,,0.676
329,2:-,1:+,+,0.568
330,2:-,2:-,,0.624
331,2:-,2:-,,0.999
332,2:-,2:-,,1
333,2:-,1:+,+,0.88
334,2:-,1:+,+,0.678
335,2:-,2:-,,0.974
336,2:-,2:-,,1
337,2:-,2:-,,1
338,2:-,2:-,,0.999
339,2:-,2:-,,0.98
340,2:-,2:-,,0.964
341,2:-,2:-,,0.978
342,2:-,2:-,,1
343,1:+,2:-,+,0.771
344,2:-,2:-,,1
345,2:-,2:-,,0.988
346,2:-,2:-,,0.738
347,2:-,1:+,+,0.732
348,2:-,2:-,,0.956
349,2:-,2:-,,0.948
350,2:-,2:-,,0.907
351,1:+,1:+,,0.517
352,2:-,2:-,,0.523
353,2:-,2:-,,0.995
354,2:-,2:-,,0.927
355,1:+,2:-,+,0.928
356,2:-,2:-,,1
357,2:-,1:+,+,0.747
358,2:-,1:+,+,0.502
359,2:-,2:-,,0.598
360,2:-,2:-,,0.685
361,2:-,2:-,,0.848
362,2:-,2:-,,0.759
363,2:-,2:-,,0.993
364,2:-,2:-,,0.993
365,2:-,1:+,+,0.575
366,2:-,1:+,+,0.601
367,2:-,1:+,+,0.688
368,2:-,2:-,,0.943
369,2:-,1:+,+,0.667
370,2:-,2:-,,0.983
371,1:+,2:-,+,1
372,2:-,1:+,+,0.972
373,2:-,2:-,,0.971
374,2:-,2:-,,0.997
375,2:-,2:-,,0.99
376,2:-,2:-,,0.828
377,2:-,2:-,,0.997
378,2:-,2:-,,0.976
379,2:-,2:-,,0.882
380,2:-,1:+,+,0.663
381,1:+,2:-,+,0.99
382,2:-,2:-,,0.935
383,2:-,2:-,,0.682
384,2:-,2:-,,1
385,2:-,1:+,+,0.961
386,2:-,1:+,+,0.544
387,2:-,2:-,,0.834
388,2:-,2:-,,0.909
389,2:-,2:-,,0.98
390,2:-,2:-,,0.953
391,2:-,1:+,+,0.839
392,2:-,2:-,,0.996
393,2:-,1:+,+,0.998
394,2:-,2:-,,0.999
395,1:+,2:-,+,0.754
396,2:-,2:-,,0.799
397,2:-,2:-,,0.559
398,2:-,2:-,,0.763
399,2:-,2:-,,1
400,2:-,2:-,,0.916
401,1:+,1:+,,0.95
402,2:-,2:-,,0.994
403,2:-,2:-,,1
404,2:-,2:-,,0.999
405,1:+,1:+,,1
406,2:-,1:+,+,0.924
407,2:-,2:-,,0.813
408,2:-,2:-,,0.736
409,1:+,2:-,+,1
410,2:-,2:-,,0.985
411,2:-,1:+,+,0.699
412,2:-,2:-,,0.654
413,2:-,2:-,,1
414,2:-,1:+,+,0.778
415,2:-,2:-,,0.997
416,2:-,2:-,,0.91
417,2:-,2:-,,1
418,2:-,2:-,,1
419,2:-,2:-,,0.57
420,2:-,2:-,,0.769
421,1:+,2:-,+,0.594
422,2:-,2:-,,1
423,2:-,2:-,,1
424,2:-,2:-,,0.994
425,2:-,1:+,+,0.956
426,2:-,2:-,,0.877
427,2:-,1:+,+,0.678
428,2:-,2:-,,0.772
429,2:-,2:-,,0.993
430,2:-,2:-,,0.736
431,1:+,2:-,+,0.933
432,2:-,2:-,,0.78
433,2:-,2:-,,0.991
434,2:-,2:-,,0.991
435,2:-,1:+,+,0.716
436,2:-,2:-,,1
437,2:-,2:-,,1
438,2:-,2:-,,0.911
439,2:-,2:-,,0.998
440,2:-,2:-,,0.764
441,2:-,2:-,,1
442,2:-,2:-,,0.501
443,2:-,1:+,+,0.86
444,2:-,2:-,,0.706
445,1:+,2:-,+,1
446,2:-,2:-,,0.995
447,2:-,2:-,,0.979
448,1:+,2:-,+,0.926
449,2:-,2:-,,1
450,2:-,2:-,,0.894
451,2:-,2:-,,0.707
452,2:-,1:+,+,0.545
453,2:-,2:-,,0.947
454,1:+,1:+,,0.51
455,2:-,2:-,,0.754
456,2:-,2:-,,0.56
457,2:-,2:-,,0.936
458,2:-,2:-,,0.619
459,1:+,2:-,+,1
460,2:-,2:-,,0.997
461,2:-,1:+,+,0.569
462,2:-,2:-,,0.717
463,2:-,2:-,,0.864
464,2:-,2:-,,0.735
465,2:-,2:-,,0.997
466,2:-,2:-,,0.747
467,2:-,1:+,+,0.818
468,1:+,1:+,,0.962
469,2:-,2:-,,0.579
470,2:-,2:-,,0.972
471,2:-,1:+,+,0.993
472,2:-,2:-,,0.952
473,2:-,2:-,,0.754
474,2:-,1:+,+,0.588
475,2:-,2:-,,0.99
476,2:-,1:+,+,0.597
477,2:-,2:-,,0.796
478,1:+,1:+,,0.536
479,2:-,2:-,,1
480,2:-,2:-,,0.961
481,2:-,2:-,,0.999
482,2:-,2:-,,1
483,2:-,1:+,+,0.681
484,2:-,2:-,,0.904
485,1:+,1:+,,0.994
486,2:-,2:-,,0.971
487,1:+,1:+,,0.981
488,2:-,2:-,,0.78
489,2:-,2:-,,0.533
490,2:-,2:-,,0.526
491,2:-,2:-,,0.988
492,2:-,1:+,+,0.834
493,1:+,2:-,+,1
494,2:-,2:-,,0.993
495,2:-,2:-,,0.993
496,2:-,2:-,,1
497,2:-,2:-,,0.888
498,2:-,2:-,,0.676
499,2:-,2:-,,0.86
500,2:-,2:-,,0.998
501,2:-,2:-,,0.999
502,2:-,2:-,,0.992
503,2:-,2:-,,0.633
504,2:-,2:-,,0.997
505,2:-,2:-,,0.992
506,2:-,1:+,+,0.999
507,2:-,2:-,,0.558
508,2:-,2:-,,0.904
509,2:-,2:-,,0.996
510,2:-,1:+,+,0.98
511,2:-,2:-,,0.985
512,1:+,2:-,+,0.97
513,2:-,2:-,,1
514,2:-,2:-,,0.646
515,2:-,2:-,,1
516,2:-,2:-,,0.933
517,1:+,1:+,,0.697
518,2:-,2:-,,1
519,2:-,2:-,,0.994
520,1:+,2:-,+,0.84
521,2:-,2:-,,0.998
522,2:-,2:-,,0.949
523,2:-,1:+,+,0.997
524,2:-,2:-,,0.981
525,2:-,2:-,,0.999
526,2:-,2:-,,1
527,2:-,2:-,,0.686
528,2:-,2:-,,0.94
529,2:-,2:-,,1
530,2:-,1:+,+,0.745
531,1:+,1:+,,0.854
532,2:-,2:-,,0.94
533,2:-,2:-,,0.994
534,2:-,2:-,,0.999
535,2:-,2:-,,1
536,2:-,2:-,,0.977
537,2:-,2:-,,0.737
538,2:-,2:-,,1
539,2:-,2:-,,0.989
540,2:-,2:-,,1
541,2:-,2:-,,0.849
542,2:-,2:-,,0.66
543,2:-,1:+,+,0.995
544,2:-,2:-,,1
545,2:-,2:-,,0.58
546,2:-,2:-,,0.961
547,2:-,2:-,,0.886
548,2:-,2:-,,0.98
549,2:-,2:-,,0.994
550,2:-,2:-,,1
551,2:-,2:-,,0.776
552,2:-,2:-,,0.595
553,2:-,2:-,,1
554,2:-,2:-,,0.983
555,2:-,2:-,,1
556,2:-,1:+,+,0.594
557,2:-,1:+,+,0.867
558,2:-,2:-,,1
559,2:-,2:-,,1
560,1:+,1:+,,0.93
561,2:-,2:-,,0.989
562,2:-,2:-,,0.978
563,2:-,2:-,,0.998
564,1:+,2:-,+,0.925
565,2:-,2:-,,0.999
566,2:-,2:-,,0.967
567,2:-,2:-,,0.593
568,2:-,1:+,+,0.608
569,2:-,2:-,,0.979
570,2:-,2:-,,0.944
571,2:-,2:-,,0.638
572,2:-,1:+,+,0.999
573,2:-,2:-,,0.893
574,2:-,2:-,,0.996
575,2:-,2:-,,0.991
576,2:-,2:-,,0.595
577,2:-,2:-,,1
578,2:-,2:-,,0.869
579,2:-,2:-,,0.981
580,2:-,2:-,,0.795
581,2:-,2:-,,0.748
582,2:-,2:-,,0.981
583,2:-,2:-,,0.578
584,2:-,2:-,,0.997
585,2:-,2:-,,0.928
586,2:-,1:+,+,0.521
587,2:-,1:+,+,0.888
588,2:-,2:-,,0.637
589,2:-,1:+,+,0.83
590,2:-,2:-,,0.972
591,2:-,2:-,,1
592,2:-,2:-,,0.991
593,2:-,1:+,+,0.793
594,1:+,2:-,+,0.841
595,1:+,2:-,+,0.944
596,2:-,2:-,,0.666
597,2:-,2:-,,1
598,1:+,1:+,,0.864
599,2:-,2:-,,0.976
600,2:-,2:-,,0.961
601,1:+,1:+,,1
602,2:-,2:-,,1
603,2:-,2:-,,0.909
604,2:-,2:-,,0.998
605,2:-,2:-,,1
606,2:-,2:-,,0.919
607,2:-,2:-,,0.938
608,2:-,2:-,,0.639
609,2:-,2:-,,0.931
610,2:-,1:+,+,0.907
611,2:-,2:-,,0.548
612,2:-,2:-,,0.907
613,2:-,1:+,+,0.591
614,2:-,2:-,,0.881
615,2:-,1:+,+,0.914
616,2:-,2:-,,0.973
617,2:-,2:-,,1
618,2:-,2:-,,0.981
619,2:-,2:-,,0.892
620,2:-,1:+,+,0.73
621,1:+,1:+,,0.955
622,2:-,2:-,,0.877
623,2:-,2:-,,0.998
624,2:-,1:+,+,0.976
625,2:-,2:-,,0.911
626,1:+,2:-,+,0.997
627,1:+,2:-,+,0.985
628,2:-,2:-,,1
629,2:-,1:+,+,0.619
630,2:-,2:-,,1
631,2:-,2:-,,0.96
632,2:-,2:-,,0.646
633,2:-,2:-,,0.925
634,2:-,2:-,,0.799
635,2:-,2:-,,0.99
636,2:-,2:-,,0.923
637,2:-,2:-,,0.932
638,2:-,2:-,,0.933
639,1:+,2:-,+,0.769
640,1:+,1:+,,0.706
641,2:-,1:+,+,0.503
642,2:-,2:-,,0.99
643,2:-,2:-,,1
644,2:-,2:-,,0.992
645,2:-,2:-,,0.999
646,2:-,2:-,,0.681
647,1:+,1:+,,0.59
648,2:-,2:-,,0.949
649,2:-,1:+,+,0.555
650,2:-,2:-,,1
651,2:-,1:+,+,0.68
652,2:-,2:-,,0.714
653,2:-,2:-,,0.683
654,2:-,2:-,,0.586
655,2:-,2:-,,0.827
656,1:+,1:+,,0.994
657,1:+,2:-,+,0.851
658,1:+,2:-,+,0.986
659,2:-,2:-,,0.995
660,2:-,2:-,,0.594
661,2:-,2:-,,0.835
662,2:-,2:-,,1
663,2:-,1:+,+,0.576
664,2:-,2:-,,0.877
665,2:-,2:-,,0.977
666,2:-,1:+,+,0.978
667,2:-,2:-,,0.867
668,2:-,2:-,,1
669,2:-,2:-,,0.979
670,2:-,2:-,,0.889
671,2:-,1:+,+,0.739
672,2:-,2:-,,0.779
673,2:-,1:+,+,0.874
674,2:-,2:-,,0.959
675,2:-,2:-,,0.997
676,1:+,1:+,,0.782
677,2:-,1:+,+,0.774
678,2:-,2:-,,0.906
679,2:-,2:-,,1
680,2:-,1:+,+,0.881
681,2:-,2:-,,0.886
682,2:-,2:-,,1
683,2:-,2:-,,0.633
684,2:-,1:+,+,0.748
685,1:+,2:-,+,0.989
686,2:-,2:-,,0.924
687,2:-,2:-,,0.995
688,2:-,2:-,,0.838
689,2:-,2:-,,0.927
690,2:-,2:-,,1
691,2:-,2:-,,0.993
692,1:+,1:+,,0.812
693,2:-,2:-,,0.933
694,2:-,1:+,+,0.924
695,2:-,2:-,,0.684
696,2:-,2:-,,0.944
697,2:-,2:-,,1
698,2:-,2:-,,0.959
699,2:-,2:-,,0.767
700,2:-,1:+,+,0.917
701,2:-,2:-,,0.974
702,2:-,2:-,,0.965
703,2:-,2:-,,0.996
704,2:-,2:-,,0.999
705,2:-,2:-,,0.787
706,2:-,1:+,+,0.534
707,2:-,1:+,+,1
708,2:-,2:-,,1
709,2:-,2:-,,0.927
710,2:-,2:-,,0.948
711,2:-,2:-,,0.989
712,2:-,1:+,+,0.699
713,2:-,2:-,,0.928
714,2:-,2:-,,1
715,2:-,2:-,,0.714
716,2:-,2:-,,0.925
717,2:-,1:+,+,0.516
718,2:-,2:-,,1
719,2:-,2:-,,0.848
720,2:-,1:+,+,0.763
721,2:-,1:+,+,0.922
722,2:-,1:+,+,0.536
723,2:-,2:-,,0.952
724,2:-,2:-,,0.697
725,2:-,2:-,,0.989
726,2:-,2:-,,0.722
727,2:-,1:+,+,0.82
728,2:-,2:-,,0.984
729,2:-,2:-,,0.731
730,2:-,2:-,,0.876
731,2:-,2:-,,0.638
732,2:-,2:-,,0.987
733,2:-,2:-,,0.89
734,2:-,2:-,,0.929
735,2:-,2:-,,0.965
736,1:+,1:+,,0.568
737,2:-,2:-,,0.651
738,2:-,2:-,,0.932
739,2:-,2:-,,0.983
740,2:-,2:-,,1
741,2:-,1:+,+,0.975
742,2:-,2:-,,0.86
743,2:-,2:-,,0.955
744,2:-,1:+,+,0.781
745,2:-,2:-,,0.999
746,2:-,2:-,,0.958
747,2:-,2:-,,0.553
748,1:+,1:+,,0.904
749,2:-,2:-,,0.971
750,1:+,2:-,+,0.981
751,2:-,2:-,,0.978
752,2:-,2:-,,0.945
753,2:-,2:-,,0.998
754,1:+,2:-,+,0.983
755,2:-,2:-,,1
756,2:-,1:+,+,0.999
757,2:-,2:-,,0.535
758,2:-,1:+,+,0.728
759,2:-,2:-,,0.88
760,2:-,2:-,,0.999
761,2:-,2:-,,0.997
762,2:-,2:-,,0.644
763,2:-,2:-,,0.835
764,2:-,1:+,+,0.582
765,2:-,2:-,,0.962
766,2:-,2:-,,0.994
767,2:-,2:-,,0.628
768,2:-,2:-,,0.768
769,2:-,2:-,,0.814
770,2:-,2:-,,0.906
771,2:-,2:-,,0.998
772,2:-,2:-,,1
773,2:-,2:-,,0.77
774,2:-,2:-,,0.999
775,2:-,2:-,,0.998
776,2:-,2:-,,0.854
777,2:-,2:-,,0.619
778,2:-,2:-,,1
779,2:-,1:+,+,0.649
780,2:-,2:-,,0.999
781,2:-,2:-,,0.805
782,2:-,2:-,,0.971
783,2:-,2:-,,0.913
784,2:-,2:-,,0.994
785,2:-,2:-,,0.937
786,2:-,2:-,,0.998
787,2:-,2:-,,0.999
788,2:-,2:-,,0.713
789,2:-,2:-,,0.925
790,2:-,2:-,,0.973
791,2:-,2:-,,0.997
792,2:-,2:-,,0.93
793,2:-,2:-,,0.99
794,2:-,2:-,,0.813
795,2:-,2:-,,0.646
796,2:-,2:-,,1
797,2:-,2:-,,0.981
798,1:+,1:+,,0.829
799,2:-,2:-,,0.725
800,2:-,2:-,,0.999
801,1:+,1:+,,0.76
802,2:-,2:-,,0.921
803,2:-,2:-,,0.939
804,2:-,2:-,,0.894
805,2:-,2:-,,1
806,2:-,2:-,,0.991
807,2:-,1:+,+,0.985
808,2:-,2:-,,0.96
809,2:-,2:-,,1
810,2:-,2:-,,0.835
811,2:-,2:-,,0.99
812,2:-,2:-,,1
813,2:-,1:+,+,1
814,2:-,2:-,,0.997
815,2:-,2:-,,1
816,1:+,2:-,+,0.769
817,2:-,2:-,,0.966
818,2:-,1:+,+,0.841
819,1:+,2:-,+,0.919
820,2:-,2:-,,0.81
821,2:-,2:-,,1
822,2:-,2:-,,0.98
823,2:-,2:-,,0.987
824,2:-,1:+,+,0.622
825,2:-,2:-,,0.589
826,2:-,2:-,,0.799
827,2:-,2:-,,0.742
828,2:-,2:-,,0.955
829,2:-,2:-,,0.974
830,1:+,2:-,+,0.982
831,2:-,1:+,+,0.753
832,2:-,1:+,+,0.899
833,1:+,2:-,+,0.641
834,2:-,2:-,,0.796
835,2:-,1:+,+,0.659
836,2:-,2:-,,0.515
837,2:-,2:-,,0.574
838,2:-,2:-,,1
839,2:-,2:-,,0.987
840,2:-,2:-,,0.995
841,2:-,2:-,,0.736
842,2:-,2:-,,0.858
843,2:-,2:-,,1
844,2:-,2:-,,0.979
845,2:-,2:-,,0.793
846,2:-,2:-,,0.988
847,2:-,2:-,,0.926
848,2:-,2:-,,0.677
849,2:-,2:-,,0.996
850,2:-,2:-,,0.999
851,2:-,1:+,+,0.549
852,1:+,1:+,,0.742
853,2:-,2:-,,0.765
854,2:-,2:-,,1
855,2:-,2:-,,0.982
856,2:-,2:-,,0.834
857,2:-,2:-,,0.885
858,1:+,2:-,+,0.94
859,2:-,2:-,,0.883
860,2:-,2:-,,1
861,2:-,2:-,,0.811
862,2:-,2:-,,0.848
863,2:-,2:-,,1
864,2:-,2:-,,1
865,2:-,2:-,,0.962
866,2:-,2:-,,1
867,2:-,2:-,,1
868,2:-,2:-,,0.524
869,1:+,1:+,,0.768
870,2:-,1:+,+,0.884
871,2:-,2:-,,0.975
872,2:-,2:-,,0.992
873,2:-,2:-,,1
874,2:-,1:+,+,0.934
875,2:-,2:-,,0.607
876,2:-,2:-,,0.998
877,2:-,2:-,,0.941
878,2:-,2:-,,0.948
879,2:-,2:-,,0.976
880,2:-,2:-,,0.742
881,2:-,2:-,,1
882,2:-,2:-,,0.988
883,2:-,2:-,,0.525
884,2:-,2:-,,0.919
885,2:-,1:+,+,0.667
886,2:-,2:-,,0.947
887,2:-,2:-,,0.94
888,2:-,2:-,,0.576
889,2:-,1:+,+,0.999
890,2:-,1:+,+,0.631
891,2:-,1:+,+,0.505
892,2:-,1:+,+,0.879
893,2:-,2:-,,0.923
894,2:-,2:-,,0.969
895,2:-,2:-,,0.975
896,2:-,2:-,,0.851
897,2:-,2:-,,0.859
898,2:-,2:-,,0.647
899,2:-,2:-,,1
900,2:-,2:-,,0.99
901,2:-,2:-,,0.998
902,2:-,2:-,,0.788
903,2:-,2:-,,0.996
904,2:-,2:-,,0.99
905,2:-,2:-,,0.998
906,2:-,2:-,,1
907,2:-,1:+,+,0.522
908,2:-,2:-,,0.728
909,2:-,2:-,,0.992
910,1:+,2:-,+,1
911,2:-,2:-,,0.997
912,1:+,2:-,+,0.87
913,2:-,2:-,,0.97
914,2:-,1:+,+,0.512
915,2:-,1:+,+,0.878
916,2:-,2:-,,1
917,2:-,2:-,,0.958
918,2:-,2:-,,0.86
919,2:-,2:-,,0.7
920,2:-,2:-,,1
921,2:-,2:-,,0.997
922,2:-,2:-,,0.972
923,2:-,2:-,,0.865
924,2:-,2:-,,0.998
925,2:-,1:+,+,0.509
926,2:-,2:-,,1
927,1:+,1:+,,0.999
928,1:+,2:-,+,0.882
929,2:-,1:+,+,1
930,2:-,2:-,,0.829
931,1:+,1:+,,0.729
932,2:-,2:-,,0.782
933,2:-,2:-,,0.997
934,2:-,1:+,+,0.574
